UNIVERSIDAD,TIPO DE GESTIÓN,Dim Sexo.Desc Sexo,Cant Estudiantes
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA SOCIETARIA,FEMENINO,867
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA SOCIETARIA,MASCULINO,314
UNIVERSIDAD NACIONAL DE CAJAMARCA,PUBLICO,FEMENINO,811
UNIVERSIDAD NACIONAL DE CAJAMARCA,PUBLICO,MASCULINO,369
UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADA ASOCIATIVA,FEMENINO,878
UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADA ASOCIATIVA,MASCULINO,227
UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,PRIVADA ASOCIATIVA,FEMENINO,856
UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,PRIVADA ASOCIATIVA,MASCULINO,246
UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,PUBLICO,FEMENINO,749
UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,PUBLICO,MASCULINO,312
UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADA SOCIETARIA,FEMENINO,837
UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADA SOCIETARIA,MASCULINO,130
UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO,PRIVADA SOCIETARIA,FEMENINO,760
UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO,PRIVADA SOCIETARIA,MASCULINO,177
UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,PRIVADA SOCIETARIA,FEMENINO,694
UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,PRIVADA SOCIETARIA,MASCULINO,194
UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO,PUBLICO,FEMENINO,581
UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO,PUBLICO,MASCULINO,304
UNIVERSIDAD PERUANA UNIÓN,PRIVADA ASOCIATIVA,FEMENINO,629
UNIVERSIDAD PERUANA UNIÓN,PRIVADA ASOCIATIVA,MASCULINO,238
UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,PUBLICO,FEMENINO,746
UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,PUBLICO,MASCULINO,112
UNIVERSIDAD NACIONAL DEL CALLAO,PUBLICO,FEMENINO,700
UNIVERSIDAD NACIONAL DEL CALLAO,PUBLICO,MASCULINO,145
UNIVERSIDAD NACIONAL DE UCAYALI,PUBLICO,FEMENINO,525
UNIVERSIDAD NACIONAL DE UCAYALI,PUBLICO,MASCULINO,315
UNIVERSIDAD NACIONAL DE PIURA,PUBLICO,FEMENINO,413
UNIVERSIDAD NACIONAL DE PIURA,PUBLICO,MASCULINO,378
UNIVERSIDAD NACIONAL DE SAN MARTÍN,PUBLICO,FEMENINO,499
UNIVERSIDAD NACIONAL DE SAN MARTÍN,PUBLICO,MASCULINO,268
UNIVERSIDAD PRIVADA DE TACNA,PRIVADA ASOCIATIVA,FEMENINO,445
UNIVERSIDAD PRIVADA DE TACNA,PRIVADA ASOCIATIVA,MASCULINO,315
UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADA SOCIETARIA,FEMENINO,697
UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADA SOCIETARIA,MASCULINO,39
UNIVERSIDAD NACIONAL DE TUMBES,PUBLICO,FEMENINO,530
UNIVERSIDAD NACIONAL DE TUMBES,PUBLICO,MASCULINO,162
UNIVERSIDAD NACIONAL DE HUANCAVELICA,PUBLICO,FEMENINO,541
UNIVERSIDAD NACIONAL DE HUANCAVELICA,PUBLICO,MASCULINO,103
UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,PUBLICO,FEMENINO,445
UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,PUBLICO,MASCULINO,149
UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,PRIVADA ASOCIATIVA,FEMENINO,509
UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,PRIVADA ASOCIATIVA,MASCULINO,67
UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADA ASOCIATIVA,FEMENINO,415
UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADA ASOCIATIVA,MASCULINO,98
UNIVERSIDAD NACIONAL DE BARRANCA,PUBLICO,FEMENINO,449
UNIVERSIDAD NACIONAL DE BARRANCA,PUBLICO,MASCULINO,60
UNIVERSIDAD PRIVADA SAN CARLOS SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,FEMENINO,377
UNIVERSIDAD PRIVADA SAN CARLOS SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,MASCULINO,42
UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,PRIVADA SOCIETARIA,FEMENINO,364
UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,PRIVADA SOCIETARIA,MASCULINO,52
UNIVERSIDAD NACIONAL DEL SANTA,PUBLICO,FEMENINO,269
UNIVERSIDAD NACIONAL DEL SANTA,PUBLICO,MASCULINO,127
UNIVERSIDAD NACIONAL DE JAÉN,PUBLICO,FEMENINO,251
